portfolio,property,address,utility_type,unit,period_number,period_start,period_end,consumption
Colliers,1140 Broadway,"1140 Broadway, New York, NY",Electricity,kWh,1,2024-09-27,2024-10-26,73181.74
Colliers,1140 Broadway,"1140 Broadway, New York, NY",Electricity,kWh,2,2024-10-27,2024-11-25,79109.76
Colliers,1140 Broadway,"1140 Broadway, New York, NY",Electricity,kWh,3,2024-11-26,2024-12-25,75605.02
Colliers,1140 Broadway,"1140 Broadway, New York, NY",Electricity,kWh,4,2024-12-26,2025-01-24,74055.29
Colliers,1140 Broadway,"1140 Broadway, New York, NY",Electricity,kWh,5,2025-01-25,2025-02-23,78991.34
Colliers,1140 Broadway,"1140 Broadway, New York, NY",Electricity,kWh,6,2025-02-24,2025-03-25,73653.5
Colliers,1140 Broadway,"1140 Broadway, New York, NY",Electricity,kWh,7,2025-03-26,2025-04-24,73529.75
Colliers,1140 Broadway,"1140 Broadway, New York, NY",Electricity,kWh,8,2025-04-25,2025-05-24,79092.47
Colliers,1140 Broadway,"1140 Broadway, New York, NY",Electricity,kWh,9,2025-05-25,2025-06-23,112838.03
Colliers,1140 Broadway,"1140 Broadway, New York, NY",Electricity,kWh,10,2025-06-24,2025-07-23,114439.16
Colliers,1140 Broadway,"1140 Broadway, New York, NY",Electricity,kWh,11,2025-07-24,2025-08-22,100502.84
Colliers,1140 Broadway,"1140 Broadway, New York, NY",Electricity,kWh,12,2025-08-23,2025-09-21,91610.4
Colliers,1140 Broadway,"1140 Broadway, New York, NY",Electricity,kWh,13,2025-09-22,2025-10-21,77181.57
Colliers,1140 Broadway,"1140 Broadway, New York, NY",Electricity,kWh,14,2025-10-22,2025-11-20,77326.13
Colliers,1140 Broadway,"1140 Broadway, New York, NY",Electricity,kWh,15,2025-11-21,2025-12-20,74513.39
Colliers,1140 Broadway,"1140 Broadway, New York, NY",Electricity,kWh,16,2025-12-21,2026-01-19,72587.77
Colliers,1140 Broadway,"1140 Broadway, New York, NY",Electricity,kWh,17,2026-01-20,2026-02-18,72924.55
Colliers,1140 Broadway,"1140 Broadway, New York, NY",Electricity,kWh,18,2026-02-19,2026-03-20,67689.12
Colliers,1140 Broadway,"1140 Broadway, New York, NY",Electricity,kWh,19,2026-03-21,2026-04-19,70829.69
Colliers,1140 Broadway,"1140 Broadway, New York, NY",Electricity,kWh,20,2026-04-20,2026-05-19,85332.27
Colliers,1140 Broadway,"1140 Broadway, New York, NY",Electricity,kWh,21,2026-05-20,2026-06-18,110448.79
Colliers,1140 Broadway,"1140 Broadway, New York, NY",Electricity,kWh,22,2026-06-19,2026-07-18,117617.5
